gene	H2621_L	HP25311_L	HP25337_L	HU1327_L	UWHI366R_L	H2621_H	HP25311_H	HP25337_H	HU1327_H	UWHI366R_H
SWI5	4.46021805	8.029390138	5.152376717	6.161152908	5.619296974	4.776799076	7.230288388	7.921444307	6.652377574	5.315730593
CENPBD1	8.067480536	9.963495955	3.692695752	9.691655496	8.114958105	7.89756153	8.656313185	7.881794548	9.047645076	8.396717426
ROR2	1.026514039	2.022831139	0.607440147	0.781679554	0.652465296	0.85146596	2.368238345	0.533372328	1.090919892	0.748850587
ABHD6	2.40753682	4.807611855	3.080432264	5.095682615	3.497247779	2.654818606	5.160408848	4.105666093	4.867242185	3.396140201
ARF5	16.05215236	23.67790026	12.75694554	20.44125305	17.26101784	18.50376097	23.58752653	14.93954428	20.66588638	17.12141384
COA7	6.369197453	6.846290776	2.618110904	4.885099373	6.677951795	5.241110635	5.85567973	6.471528316	5.116709564	6.819956023
FGFBP1	7.246588327	0.50640128	0.905949683	0.221055677	2.273388824	8.125557327	0.559929464	0.907369458	0.394102748	2.078901498
TADA1	2.977648498	3.459128361	2.329629523	3.493296863	3.100881663	2.928174113	3.35582153	2.986015365	2.54632786	2.982049163
MAD2L2	4.71764678	6.547697234	6.4497685	5.986896827	4.493015889	4.554117535	6.658935874	5.670013754	5.451977251	4.979558574
ZNF93	3.423985444	3.016517905	1.259192057	3.122411443	3.534634126	3.432812365	2.877180513	3.660983051	3.295377621	2.551316261
SUPT4H1	6.265158535	8.565164674	4.506025462	6.714766142	5.743202546	7.05680541	8.368567335	5.596164082	6.382936007	6.396379998
LITAF	10.71733303	5.048775441	6.667764184	3.595354017	8.12216943	11.45282119	5.765687064	7.464319059	3.335253111	8.565352606
C14orf37	1.055324822	1.635172486	1.654504146	2.007174556	1.591864305	1.252420332	1.663974966	1.800471366	2.045947938	1.715088302
PIGL	2.320405204	2.09436737	1.126199939	2.367592018	2.315305849	2.234922178	2.224805249	1.556607414	2.082356664	1.674311286
KLHL36	6.212898315	7.366615728	3.278419853	7.128099636	6.818556243	6.347550851	7.139622947	3.807479507	7.555468039	5.317548407
GPD1L	3.023010867	7.720060422	2.113303661	6.617453669	3.819100882	3.138693476	7.421319544	2.647741453	5.476714241	3.46353462
CAND2	3.608393311	5.155445077	1.612869827	6.655350521	3.250721075	3.047337239	4.558628017	2.336739234	6.23552095	3.043692152
LOC728730	1.743738464	3.034985832	1.506628655	2.471734895	3.054776375	1.92901335	2.717292952	2.217065619	2.276559757	3.441410524
BFAR	10.73280821	10.25965906	5.776182333	8.776756226	11.41485655	11.48197801	10.7957627	7.406759689	8.572474245	10.8888592
COPS3	14.97108078	17.1943999	12.02783335	13.89388703	16.80122904	15.11946733	16.08487957	13.30154578	13.87330291	15.38075794
TTYH3	8.64492004	6.78479964	5.880920377	6.874106527	7.011348268	7.844474883	6.883960676	6.607564859	6.231354335	7.002599663
ETS2	35.65259077	12.6785551	15.42375922	14.33910554	24.76788329	33.98255806	10.97173798	21.64331614	16.69689657	24.95560988
SLC7A6	3.193021392	1.919461242	2.705296444	2.233591919	2.857510831	3.13688439	1.764939824	3.360385231	2.410247901	2.122879082
